INFO 2025-04-04 20:47:32,009 basehttp 94964 6267760640 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2025-04-04 20:47:32,014 basehttp 94964 6250934272 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-04-04 20:47:32,016 basehttp 94964 6284587008 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
INFO 2025-04-04 20:47:32,018 basehttp 94964 6217281536 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-04-04 20:47:32,019 basehttp 94964 6267760640 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-04-04 20:47:32,021 basehttp 94964 6284587008 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-04-04 20:47:32,024 basehttp 94964 6267760640 "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
INFO 2025-04-04 20:47:32,026 basehttp 94964 6234107904 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
INFO 2025-04-04 20:47:32,027 basehttp 94964 6200455168 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2025-04-04 20:47:32,037 basehttp 94964 6200455168 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-04-04 20:47:32,044 basehttp 94964 6234107904 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-04-04 20:47:32,045 basehttp 94964 6200455168 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-04-04 20:47:32,056 basehttp 94964 6267760640 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-04-04 20:47:32,056 basehttp 94964 6200455168 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-04-04 20:47:32,056 basehttp 94964 6234107904 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-04-04 20:47:37,259 basehttp 94964 6200455168 "GET /admin/users/user/e5d9af50-ea9c-44bd-b3e0-600591fead23/change/ HTTP/1.1" 200 47478
INFO 2025-04-04 20:47:37,321 basehttp 94964 6200455168 "GET /static/admin/css/forms.css HTTP/1.1" 200 9090
INFO 2025-04-04 20:47:37,325 basehttp 94964 6234107904 "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
